epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.4851,2.82646,3.2189,2.72667,0.237,0.24603,0.14337,0.04964,2.54504,5.58901,2.6917,0.00012,0.00012,0.00012
2,84.0061,2.08949,2.20077,2.13026,0.542,0.55556,0.47431,0.15523,2.21944,1.84007,2.86158,0.000254852,0.000254852,0.000254852
3,125.044,1.87971,1.62317,1.89432,0.72923,0.70537,0.71352,0.24375,2.22383,2.43456,2.9825,0.00038416,0.00038416,0.00038416
4,163.135,1.79451,1.37971,1.89752,0.79737,0.80952,0.80197,0.2827,2.07397,1.98419,2.47182,0.000507924,0.000507924,0.000507924
5,202.446,1.73213,1.26266,1.82102,0.75553,0.83397,0.77639,0.28327,2.08588,1.52047,2.52432,0.000626144,0.000626144,0.000626144
6,239.419,1.82501,1.26208,1.90803,0.73724,0.78571,0.75777,0.25661,2.10959,3.00083,2.64111,0.00073882,0.00073882,0.00073882
7,276.696,1.73659,1.15421,1.81432,0.50604,0.72222,0.51507,0.13495,2.58348,1.86393,3.10848,0.000845952,0.000845952,0.000845952
8,315.019,1.74069,1.17299,1.84203,0.6907,0.72666,0.71026,0.22938,2.35392,2.84652,3.06647,0.00094754,0.00094754,0.00094754
9,352.755,1.68111,1.12609,1.75606,0.76631,0.69841,0.70362,0.2203,2.69428,1.31661,3.46633,0.00104358,0.00104358,0.00104358
10,391.229,1.779,1.21096,1.81296,0.21839,0.38095,0.15828,0.03244,3.32782,2.17342,5.51958,0.00113408,0.00113408,0.00113408
11,430.603,1.71206,1.16356,1.83282,0.80658,0.76984,0.82139,0.31059,2.1391,1.59771,2.52226,0.00121904,0.00121904,0.00121904
12,469.287,1.65662,1.08165,1.75893,0.27921,0.26984,0.17995,0.03464,3.41468,1.94713,4.49069,0.00129845,0.00129845,0.00129845
13,507.431,1.58583,1.08571,1.74973,0.40725,0.35714,0.27493,0.0532,3.24021,1.94717,4.44443,0.00137232,0.00137232,0.00137232
14,545.964,1.64426,1.08184,1.7703,0.80505,0.7381,0.80137,0.31821,2.14469,1.56494,2.7064,0.00144064,0.00144064,0.00144064
15,584.826,1.65553,0.99207,1.77794,0.79967,0.8237,0.88125,0.32786,2.13732,1.22571,2.50762,0.0014456,0.0014456,0.0014456
16,628.559,1.56166,0.96634,1.68984,0.85754,0.81215,0.88588,0.37956,2.005,1.29848,2.25506,0.001406,0.001406,0.001406
17,668.62,1.62263,1.02094,1.76309,0.85657,0.80576,0.89588,0.41619,1.95159,1.49674,2.20934,0.0013664,0.0013664,0.0013664
18,711.41,1.54463,0.99631,1.70631,0.84416,0.85982,0.87913,0.31858,2.17983,1.06807,2.48535,0.0013268,0.0013268,0.0013268
